Číslo obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana (počet hlasů),Řád národa - Vlastenecká unie (počet hlasů),CESTA ODPOVĚDNÉ SPOLEČNOSTI (počet hlasů),Česká str.sociálně demokrat. (počet hlasů),Radostné Česko (počet hlasů),STAROSTOVÉ A NEZÁVISLÍ (počet hlasů),Komunistická str.Čech a Moravy (počet hlasů),Strana zelených (počet hlasů),"ROZUMNÍ-stop migraci,diktát.EU (počet hlasů)",Strana svobodných občanů (počet hlasů),Blok proti islam.-Obran.domova (počet hlasů),Občanská demokratická aliance (počet hlasů),Česká pirátská strana (počet hlasů),Referendum o Evropské unii (počet hlasů),TOP 09 (počet hlasů),ANO 2011 (počet hlasů),Dobrá volba 2016 (počet hlasů),SPR-Republ.str.Čsl. M.Sládka (počet hlasů),Křesť.demokr.unie-Čs.str.lid. (počet hlasů),Česká strana národně sociální (počet hlasů),REALISTÉ (počet hlasů),SPORTOVCI (počet hlasů),Dělnic.str.sociální spravedl. (počet hlasů),Svob.a př.dem.-T.Okamura (SPD) (počet hlasů),Strana Práv Občanů (počet hlasů),- (počet hlasů)
550809,Bavorov,1 285,723,719,45,5,1,73,0,32,80,7,6,6,0,3,76,0,20,231,0,1,40,1,1,1,7,78,5,-
550817,Bělčice,825,483,479,39,1,1,35,2,23,62,4,3,13,0,0,43,0,33,128,1,4,26,0,6,0,4,45,6,-
598895,Bezdědovice,274,200,200,21,1,0,14,2,16,22,0,1,2,0,0,17,0,16,45,0,0,13,0,2,0,1,26,1,-
550833,Bílsko,164,94,93,9,0,0,2,1,4,19,2,1,0,0,0,6,0,4,30,0,0,5,0,1,0,1,8,0,-
550850,Blatná,5 344,3 354,3 339,424,3,1,257,5,109,247,52,43,45,2,8,396,5,171,939,2,13,249,2,36,8,4,309,9,-
537063,Bratronice,44,34,34,2,0,1,7,0,1,1,0,0,0,0,0,7,0,4,6,0,0,0,0,0,0,0,3,2,-
530018,Březí,63,43,43,1,0,0,8,0,1,10,1,1,1,0,0,7,0,0,7,0,0,2,0,0,0,0,4,0,-
560171,Budyně,30,25,25,3,0,0,0,0,1,2,0,0,2,0,0,2,0,1,7,0,0,3,0,0,0,0,4,0,-
529966,Buzice,139,78,78,4,1,0,7,0,2,13,2,0,0,0,0,9,0,0,20,0,1,9,0,1,0,0,9,0,-
550906,Cehnice,398,281,278,23,0,0,21,0,19,39,2,1,4,0,0,20,0,3,83,0,0,14,0,4,1,2,41,1,-
510068,Čečelovice,158,92,92,14,0,0,2,0,8,2,1,1,0,0,0,9,0,3,29,0,0,12,0,0,1,1,9,0,-
550922,Čejetice,736,432,429,28,0,0,29,8,30,38,3,1,4,0,0,53,0,9,145,0,1,19,0,5,1,0,54,1,-
550949,Čepřovice,159,95,91,10,0,0,9,0,3,11,0,0,2,0,0,8,0,7,22,0,1,0,0,2,0,0,16,0,-
550957,Čestice,730,490,487,62,0,2,32,1,20,49,9,5,6,0,1,51,3,21,141,0,0,16,0,9,3,1,52,3,-
550965,Číčenice,388,220,220,6,0,0,9,0,9,20,2,4,3,1,1,27,0,4,106,0,1,5,0,0,0,4,17,1,-
550981,Doubravice,231,151,151,11,0,0,9,0,8,16,2,6,1,0,0,23,0,8,34,0,0,12,0,0,1,2,18,0,-
551015,Drahonice,288,175,174,13,0,0,17,0,7,18,4,0,3,0,0,6,0,9,62,0,0,19,0,1,0,0,14,1,-
560219,Drachkov,152,100,100,5,0,0,9,1,2,7,1,2,0,0,0,23,0,3,33,0,0,2,0,1,1,0,9,1,-
551023,Drážov,209,144,144,19,0,0,8,0,6,33,3,0,1,0,0,3,0,2,49,0,0,10,0,0,1,0,7,2,-
560243,Droužetice,104,67,66,6,1,0,3,2,3,7,0,0,1,0,0,3,0,6,24,0,0,3,0,2,0,1,4,0,-
551040,Dřešín,246,163,162,10,0,0,8,0,13,24,2,1,1,0,0,19,0,3,60,0,0,4,0,1,4,0,10,2,-
551597,Hajany,98,66,66,1,0,0,1,0,5,2,1,0,1,0,0,15,0,4,14,0,0,14,0,0,0,1,7,0,-
561690,Hájek,28,21,21,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,9,0,0,2,0,0,0,0,4,0,-
536628,Hlupín,79,58,57,4,0,0,7,0,0,16,1,0,1,0,0,10,0,0,7,0,0,5,0,0,0,0,6,0,-
536881,Horní Poříčí,249,167,164,5,2,0,9,0,11,13,2,1,1,0,0,22,0,10,58,0,0,12,0,0,0,0,18,0,-
536369,Hornosín,66,57,57,7,0,0,2,0,6,3,1,0,1,0,0,3,0,0,14,0,0,11,0,2,1,0,6,0,-
551104,Hoslovice,137,98,97,9,0,0,10,1,3,15,1,0,2,0,0,9,0,0,25,0,1,2,0,1,1,0,17,0,-
551121,Hoštice,132,85,84,6,0,0,8,0,3,6,3,0,0,0,0,9,0,1,34,0,0,3,0,1,1,0,9,0,-
551139,Chelčice,283,167,166,20,0,0,18,0,10,16,1,1,4,0,0,22,0,7,50,0,0,10,0,0,0,2,5,0,-
